organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
ENTEROCOCCUS FAECALIS,AMPICILLIN,#N/A,14,100,#N/A,0,1
ENTEROCOCCUS FAECALIS,CIPROFLOXACIN,#N/A,14,64,#N/A,0,7
ENTEROCOCCUS FAECALIS,ERYTHROMYCIN,#N/A,14,25,#N/A,0,10
ENTEROCOCCUS FAECALIS,LEVOFLOXACIN,#N/A,14,64,#N/A,0,12
ENTEROCOCCUS FAECALIS,NITROFURANTOIN                 (URINE ISOLATES ONLY),#N/A,14,100,#N/A,0,14
ENTEROCOCCUS FAECALIS,VANCOMYCIN,#N/A,14,86,#N/A,0,18
ENTEROCOCCUS FAECIUM,VANCOMYCIN,#N/A,3,67,#N/A,1,18
STAPHYLOCOCCUS AUREUS,AMPICILLIN/SULBACTAM (UNASYN),#N/A,15,40,#N/A,2,0
STAPHYLOCOCCUS AUREUS,AUGEMENTIN,#N/A,15,40,#N/A,2,2
STAPHYLOCOCCUS AUREUS,CEFTRIAXONE,#N/A,15,40,#N/A,2,5
STAPHYLOCOCCUS AUREUS,CIPROFLOXACIN,#N/A,15,60,#N/A,2,7
STAPHYLOCOCCUS AUREUS,CLINDAMYCIN,#N/A,15,58,#N/A,2,8
STAPHYLOCOCCUS AUREUS,ERYTHROMYCIN,#N/A,15,50,#N/A,2,10
STAPHYLOCOCCUS AUREUS,GENTAMICIN,#N/A,15,100,#N/A,2,11
STAPHYLOCOCCUS AUREUS,LEVOFLOXACIN,#N/A,15,67,#N/A,2,12
STAPHYLOCOCCUS AUREUS,OXACILLIN,#N/A,15,40,#N/A,2,15
STAPHYLOCOCCUS AUREUS,TRIMETH/SULFAMETH,#N/A,15,93,#N/A,2,17
STAPHYLOCOCCUS AUREUS,VANCOMYCIN,#N/A,15,100,#N/A,2,18
STAPHYLOCOCCUS EPIDERM.,CIPROFLOXACIN,#N/A,2,50,#N/A,3,7
STAPHYLOCOCCUS EPIDERM.,GENTAMICIN,#N/A,2,50,#N/A,3,11
STAPHYLOCOCCUS EPIDERM.,LEVOFLOXACIN,#N/A,2,50,#N/A,3,12
STAPHYLOCOCCUS EPIDERM.,TRIMETH/SULFAMETH,#N/A,2,50,#N/A,3,17
STAPHYLOCOCCUS EPIDERM.,VANCOMYCIN,#N/A,2,100,#N/A,3,18
