organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
ENTEROCOCCUS FAECALIS,AMPICILLIN,#N/A,37,97,#N/A,0,1
ENTEROCOCCUS FAECALIS,CIPROFLOXACIN,#N/A,37,65,#N/A,0,7
ENTEROCOCCUS FAECALIS,ERYTHROMYCIN,#N/A,37,8,#N/A,0,10
ENTEROCOCCUS FAECALIS,LEVOFLOXACIN,#N/A,37,68,#N/A,0,12
ENTEROCOCCUS FAECALIS,NITROFURANTOIN                 (URINE ISOLATES ONLY),#N/A,37,100,#N/A,0,14
ENTEROCOCCUS FAECALIS,VANCOMYCIN,#N/A,37,92,#N/A,0,18
ENTEROCOCCUS FAECIUM,AMPICILLIN,#N/A,10,30,#N/A,1,1
ENTEROCOCCUS FAECIUM,CIPROFLOXACIN,#N/A,10,10,#N/A,1,7
ENTEROCOCCUS FAECIUM,ERYTHROMYCIN,#N/A,10,50,#N/A,1,10
ENTEROCOCCUS FAECIUM,LEVOFLOXACIN,#N/A,10,20,#N/A,1,12
ENTEROCOCCUS FAECIUM,NITROFURANTOIN                 (URINE ISOLATES ONLY),#N/A,10,75,#N/A,1,14
ENTEROCOCCUS FAECIUM,VANCOMYCIN,#N/A,10,30,#N/A,1,18
STAPHYLOCOCCUS AUREUS,AMPICILLIN/SULBACTAM(UNASYN),#N/A,90,57,#N/A,2,0
STAPHYLOCOCCUS AUREUS,AUGEMENTIN,#N/A,90,57,#N/A,2,2
STAPHYLOCOCCUS AUREUS,CEFTRIAXONE,#N/A,90,57,#N/A,2,5
STAPHYLOCOCCUS AUREUS,CIPROFLOXACIN,#N/A,90,58,#N/A,2,7
STAPHYLOCOCCUS AUREUS,CLINDAMYCIN,#N/A,90,72,#N/A,2,8
STAPHYLOCOCCUS AUREUS,ERYTHROMYCIN,#N/A,90,56,#N/A,2,10
STAPHYLOCOCCUS AUREUS,GENTAMICIN,#N/A,90,100,#N/A,2,11
STAPHYLOCOCCUS AUREUS,LEVOFLOXACIN,#N/A,90,61,#N/A,2,12
STAPHYLOCOCCUS AUREUS,NITROFURANTOIN                 (URINE ISOLATES ONLY),#N/A,90,100,#N/A,2,14
STAPHYLOCOCCUS AUREUS,OXACILLIN,#N/A,90,57,#N/A,2,15
STAPHYLOCOCCUS AUREUS,TRIMETH/SULFAMETH,#N/A,90,100,#N/A,2,17
STAPHYLOCOCCUS AUREUS,VANCOMYCIN,#N/A,90,100,#N/A,2,18
STAPHYLOCOCCUS EPIDERM.,AMPICILLIN/SULBACTAM(UNASYN),#N/A,49,49,#N/A,3,0
STAPHYLOCOCCUS EPIDERM.,AUGEMENTIN,#N/A,49,49,#N/A,3,2
STAPHYLOCOCCUS EPIDERM.,CEFTRIAXONE,#N/A,49,49,#N/A,3,5
STAPHYLOCOCCUS EPIDERM.,CIPROFLOXACIN,#N/A,49,55,#N/A,3,7
STAPHYLOCOCCUS EPIDERM.,CLINDAMYCIN,#N/A,49,54,#N/A,3,8
STAPHYLOCOCCUS EPIDERM.,ERYTHROMYCIN,#N/A,49,46,#N/A,3,10
STAPHYLOCOCCUS EPIDERM.,GENTAMICIN,#N/A,49,86,#N/A,3,11
STAPHYLOCOCCUS EPIDERM.,LEVOFLOXACIN,#N/A,49,55,#N/A,3,12
STAPHYLOCOCCUS EPIDERM.,NITROFURANTOIN                 (URINE ISOLATES ONLY),#N/A,49,100,#N/A,3,14
STAPHYLOCOCCUS EPIDERM.,OXACILLIN,#N/A,49,49,#N/A,3,15
STAPHYLOCOCCUS EPIDERM.,TRIMETH/SULFAMETH,#N/A,49,65,#N/A,3,17
STAPHYLOCOCCUS EPIDERM.,VANCOMYCIN,#N/A,49,100,#N/A,3,18
