organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
ESCHERICHIA COLI,Ampicillin,#N/A,465,44,#N/A,0,0
ESCHERICHIA COLI,Amoxicillin/clavulan,#N/A,465,75,#N/A,0,1
ESCHERICHIA COLI,Piperacillin/tazobactam,#N/A,465,92,#N/A,0,3
ESCHERICHIA COLI,Cefazolin,#N/A,465,69,#N/A,0,4
ESCHERICHIA COLI,Cefepime,#N/A,465,89,#N/A,0,5
ESCHERICHIA COLI,Ceftazidime,#N/A,465,87,#N/A,0,6
ESCHERICHIA COLI,Ceftriaxone,#N/A,465,87,#N/A,0,7
ESCHERICHIA COLI,Ertapenem,#N/A,465,100,#N/A,0,8
ESCHERICHIA COLI,Meropenem,#N/A,465,100,#N/A,0,9
ESCHERICHIA COLI,Ciprofloxacin,#N/A,465,66,#N/A,0,10
ESCHERICHIA COLI,Levofloxacin,#N/A,465,63,#N/A,0,11
ESCHERICHIA COLI,Gentamicin,#N/A,465,90,#N/A,0,12
ESCHERICHIA COLI,Tobramycin,#N/A,465,91,#N/A,0,13
ESCHERICHIA COLI,Amikacin,#N/A,465,100,#N/A,0,14
ESCHERICHIA COLI,Tetracycline,#N/A,465,74,#N/A,0,15
ESCHERICHIA COLI,Trimethoprim/sulfamethoxazole,#N/A,465,73,#N/A,0,17
ESCHERICHIA COLI,Nitrofurantoin,#N/A,465,93,#N/A,0,18
ESCHERICHIA COLI (URINE ISOLATES),Ampicillin,#N/A,226,47,#N/A,1,0
ESCHERICHIA COLI (URINE ISOLATES),Amoxicillin/clavulan,#N/A,226,76,#N/A,1,1
ESCHERICHIA COLI (URINE ISOLATES),Piperacillin/tazobactam,#N/A,226,95,#N/A,1,3
ESCHERICHIA COLI (URINE ISOLATES),Cefazolin,#N/A,226,82,#N/A,1,4
ESCHERICHIA COLI (URINE ISOLATES),Cefepime,#N/A,226,88,#N/A,1,5
ESCHERICHIA COLI (URINE ISOLATES),Ceftazidime,#N/A,226,86,#N/A,1,6
ESCHERICHIA COLI (URINE ISOLATES),Ceftriaxone,#N/A,226,86,#N/A,1,7
ESCHERICHIA COLI (URINE ISOLATES),Ertapenem,#N/A,226,100,#N/A,1,8
ESCHERICHIA COLI (URINE ISOLATES),Meropenem,#N/A,226,100,#N/A,1,9
ESCHERICHIA COLI (URINE ISOLATES),Ciprofloxacin,#N/A,226,64,#N/A,1,10
ESCHERICHIA COLI (URINE ISOLATES),Levofloxacin,#N/A,226,62,#N/A,1,11
ESCHERICHIA COLI (URINE ISOLATES),Gentamicin,#N/A,226,91,#N/A,1,12
ESCHERICHIA COLI (URINE ISOLATES),Tobramycin,#N/A,226,90,#N/A,1,13
ESCHERICHIA COLI (URINE ISOLATES),Amikacin,#N/A,226,100,#N/A,1,14
ESCHERICHIA COLI (URINE ISOLATES),Tetracycline,#N/A,226,74,#N/A,1,15
ESCHERICHIA COLI (URINE ISOLATES),Trimethoprim/sulfamethoxazole,#N/A,226,77,#N/A,1,17
ESCHERICHIA COLI (URINE ISOLATES),Nitrofurantoin,#N/A,226,93,#N/A,1,18
KLEBSIELLA PNEUMONIAE,Amoxicillin/clavulan,#N/A,182,87,#N/A,2,1
KLEBSIELLA PNEUMONIAE,Piperacillin/tazobactam,#N/A,182,93,#N/A,2,3
KLEBSIELLA PNEUMONIAE,Cefazolin,#N/A,182,85,#N/A,2,4
KLEBSIELLA PNEUMONIAE,Cefepime,#N/A,182,91,#N/A,2,5
KLEBSIELLA PNEUMONIAE,Ceftazidime,#N/A,182,90,#N/A,2,6
KLEBSIELLA PNEUMONIAE,Ceftriaxone,#N/A,182,90,#N/A,2,7
KLEBSIELLA PNEUMONIAE,Ertapenem,#N/A,182,99,#N/A,2,8
KLEBSIELLA PNEUMONIAE,Meropenem,#N/A,182,99,#N/A,2,9
KLEBSIELLA PNEUMONIAE,Ciprofloxacin,#N/A,182,86,#N/A,2,10
KLEBSIELLA PNEUMONIAE,Levofloxacin,#N/A,182,82,#N/A,2,11
KLEBSIELLA PNEUMONIAE,Gentamicin,#N/A,182,97,#N/A,2,12
KLEBSIELLA PNEUMONIAE,Tobramycin,#N/A,182,94,#N/A,2,13
KLEBSIELLA PNEUMONIAE,Amikacin,#N/A,182,100,#N/A,2,14
KLEBSIELLA PNEUMONIAE,Tetracycline,#N/A,182,79,#N/A,2,15
KLEBSIELLA PNEUMONIAE,Trimethoprim/sulfamethoxazole,#N/A,182,85,#N/A,2,17
KLEBSIELLA PNEUMONIAE,Nitrofurantoin,#N/A,182,29,#N/A,2,18
SERRATIA MARCESCENS,Piperacillin/tazobactam,#N/A,125,98,#N/A,3,3
SERRATIA MARCESCENS,Cefepime,#N/A,125,100,#N/A,3,5
SERRATIA MARCESCENS,Ceftazidime,#N/A,125,100,#N/A,3,6
SERRATIA MARCESCENS,Ceftriaxone,#N/A,125,100,#N/A,3,7
SERRATIA MARCESCENS,Ertapenem,#N/A,125,100,#N/A,3,8
SERRATIA MARCESCENS,Meropenem,#N/A,125,100,#N/A,3,9
SERRATIA MARCESCENS,Ciprofloxacin,#N/A,125,98,#N/A,3,10
SERRATIA MARCESCENS,Levofloxacin,#N/A,125,97,#N/A,3,11
SERRATIA MARCESCENS,Gentamicin,#N/A,125,100,#N/A,3,12
SERRATIA MARCESCENS,Tobramycin,#N/A,125,97,#N/A,3,13
SERRATIA MARCESCENS,Amikacin,#N/A,125,100,#N/A,3,14
SERRATIA MARCESCENS,Tetracycline,#N/A,125,31,#N/A,3,15
SERRATIA MARCESCENS,Trimethoprim/sulfamethoxazole,#N/A,125,100,#N/A,3,17
ENTEROBACTER CLOACAE COMPLEX,Piperacillin/tazobactam,#N/A,124,59,#N/A,4,3
ENTEROBACTER CLOACAE COMPLEX,Cefepime,#N/A,124,98,#N/A,4,5
ENTEROBACTER CLOACAE COMPLEX,Ceftazidime,#N/A,124,60,#N/A,4,6
ENTEROBACTER CLOACAE COMPLEX,Ceftriaxone,#N/A,124,58,#N/A,4,7
ENTEROBACTER CLOACAE COMPLEX,Ertapenem,#N/A,124,84,#N/A,4,8
ENTEROBACTER CLOACAE COMPLEX,Meropenem,#N/A,124,95,#N/A,4,9
ENTEROBACTER CLOACAE COMPLEX,Ciprofloxacin,#N/A,124,93,#N/A,4,10
ENTEROBACTER CLOACAE COMPLEX,Levofloxacin,#N/A,124,88,#N/A,4,11
ENTEROBACTER CLOACAE COMPLEX,Gentamicin,#N/A,124,95,#N/A,4,12
ENTEROBACTER CLOACAE COMPLEX,Tobramycin,#N/A,124,94,#N/A,4,13
ENTEROBACTER CLOACAE COMPLEX,Amikacin,#N/A,124,100,#N/A,4,14
ENTEROBACTER CLOACAE COMPLEX,Tetracycline,#N/A,124,87,#N/A,4,15
ENTEROBACTER CLOACAE COMPLEX,Trimethoprim/sulfamethoxazole,#N/A,124,89,#N/A,4,17
ENTEROBACTER CLOACAE COMPLEX,Nitrofurantoin,#N/A,124,48,#N/A,4,18
PROTEUS MIRABILIS,Ampicillin,#N/A,69,81,#N/A,5,0
PROTEUS MIRABILIS,Amoxicillin/clavulan,#N/A,69,99,#N/A,5,1
PROTEUS MIRABILIS,Piperacillin/tazobactam,#N/A,69,100,#N/A,5,3
PROTEUS MIRABILIS,Cefazolin,#N/A,69,87,#N/A,5,4
PROTEUS MIRABILIS,Cefepime,#N/A,69,99,#N/A,5,5
PROTEUS MIRABILIS,Ceftazidime,#N/A,69,99,#N/A,5,6
PROTEUS MIRABILIS,Ceftriaxone,#N/A,69,99,#N/A,5,7
PROTEUS MIRABILIS,Ertapenem,#N/A,69,87,#N/A,5,8
PROTEUS MIRABILIS,Meropenem,#N/A,69,100,#N/A,5,9
PROTEUS MIRABILIS,Ciprofloxacin,#N/A,69,77,#N/A,5,10
PROTEUS MIRABILIS,Levofloxacin,#N/A,69,77,#N/A,5,11
PROTEUS MIRABILIS,Gentamicin,#N/A,69,97,#N/A,5,12
PROTEUS MIRABILIS,Tobramycin,#N/A,69,97,#N/A,5,13
PROTEUS MIRABILIS,Amikacin,#N/A,69,100,#N/A,5,14
PROTEUS MIRABILIS,Trimethoprim/sulfamethoxazole,#N/A,69,85,#N/A,5,17
KLEBSIELLA OXYTOCA,Amoxicillin/clavulan,#N/A,42,93,#N/A,6,1
KLEBSIELLA OXYTOCA,Piperacillin/tazobactam,#N/A,42,93,#N/A,6,3
KLEBSIELLA OXYTOCA,Cefazolin,#N/A,42,72,#N/A,6,4
KLEBSIELLA OXYTOCA,Cefepime,#N/A,42,94,#N/A,6,5
