region,institution,year_month_start,year_month_end,antibiogram_id,sample_info,gram,csv,metadata
"Binghamton, NY",UHS,202101,202201,12,non-urine,positive,uhs_nonurine_gp_2021.csv,uhs_nonurine_2021.json
"Binghamton, NY",UHS,202101,202201,13,urine,positive,uhs_urine_gp_2021.csv,uhs_urine_2021.json
"Binghamton, NY",UHS,202101,202201,14,non-urine,negative,uhs_nonurine_gn_2021.csv,uhs_nonurine_2021.json
"Binghamton, NY",UHS,202101,202201,15,urine,negative,uhs_urine_gn_2021.csv,uhs_urine_2021.json
"Ithaca, NY",Cayuga Medical Center,202101,202201,16,#N/A,negative,cayuga_gn_2021.csv,cayuga_2021.json
"Ithaca, NY",Cayuga Medical Center,202101,202201,17,#N/A,positive,cayuga_gp_2021.csv,cayuga_2021.json
"Montour Falls, NY",Schuyler,202101,202201,18,#N/A,negative,schuyer_gn_2021.csv,schuyer_2021.json
"Montour Falls, NY",Schuyler,202101,202201,19,#N/A,positive,schuyer_gp_2021.csv,schuyer_2021.json
"Binghamton, NY",Lourdes,202106,202205,20,inpatient,negative,oll_inpt_gn_2021.csv,oll_inpt_gn_2021.json
"Binghamton, NY",Lourdes,202106,202205,21,inpatient,positive,oll_inpt_gp_2021.csv,oll_inpt_gp_2021.json		
"Binghamton, NY",Lourdes,202106,202205,22,outpatient,negative,oll_outpt_gn_2021.csv,oll_outpt_gn_2021.json								
"Binghamton, NY",Lourdes,202106,202205,23,outpatient,positive,oll_outpt_gp_2021.csv,oll_outpt_gp_2021.json
"Geneva & Penn Yan, NY",Finger Lakes Health,202101,202201,24,long term care,negative,Finger Lakes Health (LTC)_gn_2021.csv,Finger Lakes Health (LTC)_gn_2021.json
"Geneva & Penn Yan, NY",Finger Lakes Health,202101,202201,25,long term care,positive,Finger Lakes Health (LTC)_gp_2021.csv,Finger Lakes Health (LTC)_gp_2021.json
"Geneva & Penn Yan, NY",Finger Lakes Health,202101,202201,26,inpatient,negative,Finger Lakes Health_inpt_gn_2021.csv,Finger Lakes Health_inpt_gn_2021.json
"Geneva & Penn Yan, NY",Finger Lakes Health,202101,202201,27,inpatient,positive,Finger Lakes Health_inpt_gp_2021.csv,Finger Lakes Health_inpt_gp_2021.json
