organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
Escherichia coli,AMOX/CLAV,PO,545,85,#N/A,1,1
Klebsiella pneumoniae,AMOX/CLAV,PO,87,97,#N/A,2,1
Proteus mirabilis,AMOX/CLAV,PO,43,100,#N/A,3,1
Escherichia coli,AMPICILLIN,IV/PO,545,56,#N/A,1,2
Proteus mirabilis,AMPICILLIN,IV/PO,43,56,#N/A,3,2
Escherichia coli,AZTREONAM,IV,545,94,#N/A,1,3
Klebsiella pneumoniae,AZTREONAM,IV,87,97,#N/A,2,3
Proteus mirabilis,AZTREONAM,IV,43,100,#N/A,3,3
Escherichia coli,CEFAZOLIN,IV,545,90,#N/A,1,4
Klebsiella pneumoniae,CEFAZOLIN,IV,87,91,#N/A,2,4
Proteus mirabilis,CEFAZOLIN,IV,43,95,#N/A,3,4
Escherichia coli,CEFTRIAXONE,IV,545,94,#N/A,1,5
Klebsiella pneumoniae,CEFTRIAXONE,IV,87,97,#N/A,2,5
Proteus mirabilis,CEFTRIAXONE,IV,43,100,#N/A,3,5
Escherichia coli,CEFIPIME,IV,545,95,#N/A,1,6
Klebsiella pneumoniae,CEFIPIME,IV,87,97,#N/A,2,6
Proteus mirabilis,CEFIPIME,IV,43,100,#N/A,3,6
Pseudomonas aeruginosa,CEFIPIME,IV,53,94,#N/A,4,6
Escherichia coli,CIPROFLOXACIN,IV/PO,545,85,#N/A,1,7
Klebsiella pneumoniae,CIPROFLOXACIN,IV/PO,87,99,#N/A,2,7
Proteus mirabilis,CIPROFLOXACIN,IV/PO,43,67,#N/A,3,7
Pseudomonas aeruginosa,CIPROFLOXACIN,IV/PO,53,87,#N/A,4,7
Escherichia coli,GENTAMICIN,IV,545,92,#N/A,1,8
Klebsiella pneumoniae,GENTAMICIN,IV,87,98,#N/A,2,8
Proteus mirabilis,GENTAMICIN,IV,43,91,#N/A,3,8
Escherichia coli,IMIPENIM,IV,545,100,#N/A,1,9
Klebsiella pneumoniae,IMIPENIM,IV,87,100,#N/A,2,9
Pseudomonas aeruginosa,IMIPENIM,IV,53,85,#N/A,4,9
Escherichia coli,LEVOFLOXACIN,IV/PO,545,86,#N/A,1,10
Klebsiella pneumoniae,LEVOFLOXACIN,IV/PO,87,99,#N/A,2,10
Proteus mirabilis,LEVOFLOXACIN,IV/PO,43,79,#N/A,3,10
Pseudomonas aeruginosa,LEVOFLOXACIN,IV/PO,53,87,#N/A,4,10
Escherichia coli,MEROPENEM,IV,545,100,#N/A,1,11
Klebsiella pneumoniae,MEROPENEM,IV,87,100,#N/A,2,11
Proteus mirabilis,MEROPENEM,IV,43,100,#N/A,3,11
Pseudomonas aeruginosa,MEROPENEM,IV,53,92,#N/A,4,11
Escherichia coli,NITROFURANTOIN,PO,545,94,#N/A,1,12
Klebsiella pneumoniae,NITROFURANTOIN,PO,87,40,#N/A,2,12
Escherichia coli,PIP/TAZOBACTAM,IV,545,97,#N/A,1,13
Klebsiella pneumoniae,PIP/TAZOBACTAM,IV,87,99,#N/A,2,13
Proteus mirabilis,PIP/TAZOBACTAM,IV,43,100,#N/A,3,13
Pseudomonas aeruginosa,PIP/TAZOBACTAM,IV,53,100,#N/A,4,13
Escherichia coli,TRIMETH/SUFLA,IV/PO,545,78,#N/A,1,14
Klebsiella pneumoniae,TRIMETH/SUFLA,IV/PO,87,94,#N/A,2,14
