organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info
Enterobacter cloacae,Ampicillin,#N/A,65,R,non-urine
Escherichia coli,Ampicillin,#N/A,215,54,non-urine
Klebsiella pneumoniae,Ampicillin,#N/A,91,R,non-urine
Proteus mirabilis,Ampicillin,#N/A,64,82,non-urine
Pseudomonas aeruginosa,Ampicillin,#N/A,315,R,non-urine
Enterobacter cloacae,Pip-Tazo,#N/A,65,87,non-urine
Escherichia coli,Pip-Tazo,#N/A,215,97,non-urine
Klebsiella pneumoniae,Pip-Tazo,#N/A,91,78,non-urine
Proteus mirabilis,Pip-Tazo,#N/A,64,100,non-urine
Pseudomonas aeruginosa,Pip-Tazo,#N/A,315,85,non-urine
Escherichia coli,Cefazolin,#N/A,215,77,non-urine
Klebsiella pneumoniae,Cefazolin,#N/A,91,67,non-urine
Proteus mirabilis,Cefazolin,#N/A,64,85,non-urine
Pseudomonas aeruginosa,Cefazolin,#N/A,315,R,non-urine
Escherichia coli,Ceftriaxone,#N/A,215,80,non-urine
Klebsiella pneumoniae,Ceftriaxone,#N/A,91,68,non-urine
Proteus mirabilis,Ceftriaxone,#N/A,64,89,non-urine
Pseudomonas aeruginosa,Ceftriaxone,#N/A,315,R,non-urine
Enterobacter cloacae,Cefepime,#N/A,65,93,non-urine
Escherichia coli,Cefepime,#N/A,215,81,non-urine
Klebsiella pneumoniae,Cefepime,#N/A,91,69,non-urine
Proteus mirabilis,Cefepime,#N/A,64,89,non-urine
Pseudomonas aeruginosa,Cefepime,#N/A,315,86,non-urine
Enterobacter cloacae,Meropenem,#N/A,65,92,non-urine
Escherichia coli,Meropenem,#N/A,215,99,non-urine
Klebsiella pneumoniae,Meropenem,#N/A,91,83,non-urine
Proteus mirabilis,Meropenem,#N/A,64,100,non-urine
Pseudomonas aeruginosa,Meropenem,#N/A,315,93,non-urine
Enterobacter cloacae,Gentamicin,#N/A,65,98,non-urine
Escherichia coli,Gentamicin,#N/A,215,93,non-urine
Klebsiella pneumoniae,Gentamicin,#N/A,91,90,non-urine
Proteus mirabilis,Gentamicin,#N/A,64,95,non-urine
Pseudomonas aeruginosa,Gentamicin,#N/A,315,87,non-urine
Enterobacter cloacae,Tobramicin,#N/A,65,98,non-urine
Escherichia coli,Tobramicin,#N/A,215,94,non-urine
Klebsiella pneumoniae,Tobramicin,#N/A,91,90,non-urine
Proteus mirabilis,Tobramicin,#N/A,64,95,non-urine
Pseudomonas aeruginosa,Tobramicin,#N/A,315,96,non-urine
Enterobacter cloacae,Ciprofloxacin,#N/A,65,93,non-urine
Escherichia coli,Ciprofloxacin,#N/A,215,78,non-urine
Klebsiella pneumoniae,Ciprofloxacin,#N/A,91,72,non-urine
Proteus mirabilis,Ciprofloxacin,#N/A,64,71,non-urine
Pseudomonas aeruginosa,Ciprofloxacin,#N/A,315,86,non-urine
Enterobacter cloacae,Levofloxacin,#N/A,65,100,non-urine
Escherichia coli,Levofloxacin,#N/A,215,78,non-urine
Klebsiella pneumoniae,Levofloxacin,#N/A,91,79,non-urine
Proteus mirabilis,Levofloxacin,#N/A,64,82,non-urine
Pseudomonas aeruginosa,Levofloxacin,#N/A,315,86,non-urine
Enterobacter cloacae,TMP-SMX,#N/A,65,92,non-urine
Escherichia coli,TMP-SMX,#N/A,215,73,non-urine
Klebsiella pneumoniae,TMP-SMX,#N/A,91,75,non-urine
Proteus mirabilis,TMP-SMX,#N/A,64,78,non-urine
Pseudomonas aeruginosa,TMP-SMX,#N/A,315,R,non-urine
