organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info
Enterococcus spp. ,Ampicillin,#N/A,144,73,non-urine
Viridans group Streptococcus,Ampicillin,#N/A,40,80,non-urine
Streptococcus pneumoniae (Meningitis),Penicillin,#N/A,41,85,non-urine
Streptococcus pneumoniae (Non-Meningitis),Penicillin,#N/A,41,100,non-urine
Viridans group Streptococcus,Penicillin,#N/A,40,75,non-urine
Coagulase negative Staphylococcus,Oxacillin,#N/A,231,32,non-urine
Staphylococcus aureus ,Oxacillin,#N/A,2238,49,non-urine
Coagulase negative Staphylococcus,Cefazolin,#N/A,231,32,non-urine
Enterococcus spp. ,Cefazolin,#N/A,144,R,non-urine
Staphylococcus aureus ,Cefazolin,#N/A,2238,49,non-urine
Enterococcus spp. ,Ceftriaxone,#N/A,144,R,non-urine
Streptococcus pneumoniae (Meningitis),Ceftriaxone,#N/A,41,95,non-urine
Streptococcus pneumoniae (Non-Meningitis),Ceftriaxone,#N/A,41,100,non-urine
Viridans group Streptococcus,Ceftriaxone,#N/A,40,100,non-urine
Enterococcus spp. ,Cefepime,#N/A,144,R,non-urine
Enterococcus spp. ,Gentamicin,#N/A,144,80,non-urine
Streptococcus pneumoniae (Meningitis),Levofloxacin,#N/A,41,100,non-urine
Streptococcus pneumoniae (Non-Meningitis),Levofloxacin,#N/A,41,100,non-urine
Staphylococcus aureus ,Erythromycin,#N/A,2238,40,non-urine
Streptococcus pneumoniae (Non-Meningitis),Erythromycin,#N/A,41,44,non-urine
Staphylococcus aureus ,Clindamycin,#N/A,2238,65,non-urine
Staphylococcus aureus ,Tetracycline,#N/A,2238,94,non-urine
Coagulase negative Staphylococcus,Vancomycin,#N/A,231,100,non-urine
Enterococcus spp. ,Vancomycin,#N/A,144,75,non-urine
Staphylococcus aureus ,Vancomycin,#N/A,2238,100,non-urine
Streptococcus pneumoniae (Meningitis),Vancomycin,#N/A,41,100,non-urine
Streptococcus pneumoniae (Non-Meningitis),Vancomycin,#N/A,41,100,non-urine
Viridans group Streptococcus,Vancomycin,#N/A,40,100,non-urine
