organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info
Enterococcus spp.,Ampicillin,#N/A,319,80,urine
Escherichia coli,Ampicillin,#N/A,5153,61,urine
Klebsiella oxytoca,Ampicillin,#N/A,71,R,urine
Klebsiella pneumoniae,Ampicillin,#N/A,715,R,urine
Proteus mirabilis,Ampicillin,#N/A,309,88,urine
Enterococcus spp.,Amoxicillin-clavulonate,#N/A,319,80,urine
Escherichia coli,Amoxicillin-clavulonate,#N/A,5153,91,urine
Klebsiella oxytoca,Amoxicillin-clavulonate,#N/A,71,89,urine
Klebsiella pneumoniae,Amoxicillin-clavulonate,#N/A,715,93,urine
Proteus mirabilis,Amoxicillin-clavulonate,#N/A,309,98,urine
Citrobacter spp. ,Piperacillin-tazobactam,#N/A,53,92,urine
Enterobacter aerogenes,Piperacillin-tazobactam,#N/A,77,98,urine
Enterobacter cloacae,Piperacillin-tazobactam,#N/A,119,88,urine
Pseudomonas aeruginosa,Piperacillin-tazobactam,#N/A,191,95,urine
Enterococcus spp.,Cefazolin / Cephalexin,#N/A,319,R,urine
Escherichia coli,Cefazolin / Cephalexin,#N/A,5153,89,urine
Klebsiella oxytoca,Cefazolin / Cephalexin,#N/A,71,44,urine
Klebsiella pneumoniae,Cefazolin / Cephalexin,#N/A,715,94,urine
Proteus mirabilis,Cefazolin / Cephalexin,#N/A,309,94,urine
Enterococcus spp.,Ceftriaxone,#N/A,319,R,urine
Escherichia coli,Ceftriaxone,#N/A,5153,90,urine
Klebsiella oxytoca,Ceftriaxone,#N/A,71,92,urine
Klebsiella pneumoniae,Ceftriaxone,#N/A,715,94,urine
Proteus mirabilis,Ceftriaxone,#N/A,309,94,urine
Citrobacter spp. ,Cefepime,#N/A,53,98,urine
Enterobacter aerogenes,Cefepime,#N/A,77,100,urine
Enterobacter cloacae,Cefepime,#N/A,119,91,urine
Enterococcus spp.,Cefepime,#N/A,319,R,urine
Escherichia coli,Cefepime,#N/A,5153,95,urine
Klebsiella oxytoca,Cefepime,#N/A,71,94,urine
Klebsiella pneumoniae,Cefepime,#N/A,715,96,urine
Proteus mirabilis,Cefepime,#N/A,309,98,urine
Pseudomonas aeruginosa,Cefepime,#N/A,191,93,urine
Citrobacter spp. ,Gentamicin,#N/A,53,92,urine
Enterobacter aerogenes,Gentamicin,#N/A,77,98,urine
Enterobacter cloacae,Gentamicin,#N/A,119,95,urine
Escherichia coli,Gentamicin,#N/A,5153,94,urine
Klebsiella oxytoca,Gentamicin,#N/A,71,99,urine
Klebsiella pneumoniae,Gentamicin,#N/A,715,98,urine
Proteus mirabilis,Gentamicin,#N/A,309,94,urine
Pseudomonas aeruginosa,Gentamicin,#N/A,191,82,urine
Citrobacter spp. ,Ciprofloxacin,#N/A,53,86,urine
Enterobacter aerogenes,Ciprofloxacin,#N/A,77,97,urine
Enterobacter cloacae,Ciprofloxacin,#N/A,119,95,urine
Escherichia coli,Ciprofloxacin,#N/A,5153,79,urine
Klebsiella oxytoca,Ciprofloxacin,#N/A,71,97,urine
Klebsiella pneumoniae,Ciprofloxacin,#N/A,715,94,urine
Proteus mirabilis,Ciprofloxacin,#N/A,309,77,urine
Pseudomonas aeruginosa,Ciprofloxacin,#N/A,191,86,urine
Citrobacter spp. ,Sulfamethox-trimethoprim,#N/A,53,87,urine
Enterobacter aerogenes,Sulfamethox-trimethoprim,#N/A,77,97,urine
Enterobacter cloacae,Sulfamethox-trimethoprim,#N/A,119,89,urine
Escherichia coli,Sulfamethox-trimethoprim,#N/A,5153,82,urine
Klebsiella oxytoca,Sulfamethox-trimethoprim,#N/A,71,95,urine
Klebsiella pneumoniae,Sulfamethox-trimethoprim,#N/A,715,91,urine
Proteus mirabilis,Sulfamethox-trimethoprim,#N/A,309,88,urine
Citrobacter spp. ,Nitrofurantoin,#N/A,53,91,urine
Enterobacter aerogenes,Nitrofurantoin,#N/A,77,16,urine
Enterobacter cloacae,Nitrofurantoin,#N/A,119,18,urine
Enterococcus spp.,Nitrofurantoin,#N/A,319,95,urine
Escherichia coli,Nitrofurantoin,#N/A,5153,98,urine
Klebsiella oxytoca,Nitrofurantoin,#N/A,71,90,urine
Klebsiella pneumoniae,Nitrofurantoin,#N/A,715,43,urine
Proteus mirabilis,Nitrofurantoin,#N/A,309,R,urine
Enterococcus spp.,Vancomycin,#N/A,319,88,urine
