organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info
E. COLI,Nitrofurantoin--Urine use only,#N/A,431,95,"inpatient, urine"
KLEB.PNEUMO.,Nitrofurantoin--Urine use only,#N/A,98,35,"inpatient, urine"
ENTEROBACTER CLOACAE,Nitrofurantoin--Urine use only,#N/A,26,31,"inpatient, urine"
E. COLI,Levofloxacin,#N/A,431,80,inpatient
PSEUDOMONAS AERUGINOSA,Levofloxacin,#N/A,84,80,inpatient
KLEB.PNEUMO.,Levofloxacin,#N/A,98,92,inpatient
PROTEUS MIRABILIS,Levofloxacin,#N/A,52,87,inpatient
ACINETOBACTER BAUMANNII,Levofloxacin,#N/A,11,50,inpatient
MORGANELLA MORGANII,Levofloxacin,#N/A,7,57,inpatient
S. MALTOPHILIA (Inpt + Outpt),Levofloxacin,#N/A,37,81,inpatient
E. COLI,Ceftriaxone,#N/A,431,91,inpatient
KLEB.PNEUMO.,Ceftriaxone,#N/A,98,91,inpatient
PROTEUS MIRABILIS,Ceftriaxone,#N/A,52,94,inpatient
ACINETOBACTER BAUMANNII,Ceftriaxone,#N/A,11,17,inpatient
ENTEROBACTER CLOACAE,Ceftriaxone,#N/A,26,77,inpatient
MORGANELLA MORGANII,Ceftriaxone,#N/A,7,86,inpatient
PSEUDOMONAS AERUGINOSA,Ciprofloxacin,#N/A,84,82,inpatient
E. COLI,Gentamicin,#N/A,431,93,inpatient
PSEUDOMONAS AERUGINOSA,Gentamicin,#N/A,84,90,inpatient
KLEB.PNEUMO.,Gentamicin,#N/A,98,94,inpatient
PROTEUS MIRABILIS,Gentamicin,#N/A,52,92,inpatient
ACINETOBACTER BAUMANNII,Gentamicin,#N/A,11,100,inpatient
ENTEROBACTER CLOACAE,Gentamicin,#N/A,26,88,inpatient
MORGANELLA MORGANII,Gentamicin,#N/A,7,86,inpatient
E. COLI,Cefazolin,#N/A,431,82,inpatient
KLEB.PNEUMO.,Cefazolin,#N/A,98,90,inpatient
PROTEUS MIRABILIS,Cefazolin,#N/A,52,90,inpatient
E. COLI,Cefepime,#N/A,431,92,inpatient
PSEUDOMONAS AERUGINOSA,Cefepime,#N/A,84,90,inpatient
KLEB.PNEUMO.,Cefepime,#N/A,98,91,inpatient
PROTEUS MIRABILIS,Cefepime,#N/A,52,94,inpatient
ACINETOBACTER BAUMANNII,Cefepime,#N/A,11,67,inpatient
ENTEROBACTER CLOACAE,Cefepime,#N/A,26,96,inpatient
MORGANELLA MORGANII,Cefepime,#N/A,7,100,inpatient
E. COLI,Ceftazidime,#N/A,431,91,inpatient
PROTEUS MIRABILIS,Ceftazidime,#N/A,52,94,inpatient
MORGANELLA MORGANII,Ceftazidime,#N/A,7,71,inpatient
E. COLI,Piperacillin/tazobactam,#N/A,431,96,inpatient
PSEUDOMONAS AERUGINOSA,Piperacillin/tazobactam,#N/A,84,88,inpatient
KLEB.PNEUMO.,Piperacillin/tazobactam,#N/A,98,90,inpatient
PROTEUS MIRABILIS,Piperacillin/tazobactam,#N/A,52,98,inpatient
ACINETOBACTER BAUMANNII,Piperacillin/tazobactam,#N/A,11,60,inpatient
ENTEROBACTER CLOACAE,Piperacillin/tazobactam,#N/A,26,85,inpatient
MORGANELLA MORGANII,Piperacillin/tazobactam,#N/A,7,71,inpatient
E. COLI,Meropenem,#N/A,431,100,inpatient
PSEUDOMONAS AERUGINOSA,Meropenem,#N/A,84,88,inpatient
KLEB.PNEUMO.,Meropenem,#N/A,98,99,inpatient
PROTEUS MIRABILIS,Meropenem,#N/A,52,100,inpatient
ACINETOBACTER BAUMANNII,Meropenem,#N/A,11,50,inpatient
ENTEROBACTER CLOACAE,Meropenem,#N/A,26,100,inpatient
MORGANELLA MORGANII,Meropenem,#N/A,7,100,inpatient
E. COLI,Trimethroprim/sulfamethoxazole,#N/A,431,83,inpatient
KLEB.PNEUMO.,Trimethroprim/sulfamethoxazole,#N/A,98,87,inpatient
PROTEUS MIRABILIS,Trimethroprim/sulfamethoxazole,#N/A,52,81,inpatient
ACINETOBACTER BAUMANNII,Trimethroprim/sulfamethoxazole,#N/A,11,50,inpatient
MORGANELLA MORGANII,Trimethroprim/sulfamethoxazole,#N/A,7,57,inpatient
S. MALTOPHILIA (Inpt + Outpt),Trimethroprim/sulfamethoxazole,#N/A,37,78,inpatient
E. COLI,Ampicillin,#N/A,431,54,inpatient
PROTEUS MIRABILIS,Ampicillin,#N/A,52,83,inpatient
HAEMOPHILUS INFLUENZAE (Inpt +Outpt),Ampicillin,#N/A,254,81,inpatient
