organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
ESCHERICHIA COLI,Ampicillin,#N/A,361,50,#N/A,0,0
ESCHERICHIA COLI,Amoxicillin/clavulanate,#N/A,361,77,#N/A,0,1
ESCHERICHIA COLI,Piperacillin/tazobactam,#N/A,361,93,#N/A,0,3
ESCHERICHIA COLI,Cefazolin,#N/A,361,74,#N/A,0,4
ESCHERICHIA COLI,Cefoxitin,#N/A,361,88,#N/A,0,5
ESCHERICHIA COLI,Cefepime,#N/A,361,92,#N/A,0,6
ESCHERICHIA COLI,Ceftazidime,#N/A,361,90,#N/A,0,7
ESCHERICHIA COLI,Ceftriaxone,#N/A,361,90,#N/A,0,8
ESCHERICHIA COLI,Ertapenem,#N/A,361,100,#N/A,0,9
ESCHERICHIA COLI,Meropenem,#N/A,361,100,#N/A,0,10
ESCHERICHIA COLI,Ciprofloxacin,#N/A,361,70,#N/A,0,11
ESCHERICHIA COLI,Levofloxacin,#N/A,361,67,#N/A,0,12
ESCHERICHIA COLI,Gentamicin,#N/A,361,90,#N/A,0,13
ESCHERICHIA COLI,Tobramycin,#N/A,361,91,#N/A,0,14
ESCHERICHIA COLI,Amikacin,#N/A,361,99,#N/A,0,15
ESCHERICHIA COLI,Tetracycline,#N/A,361,77,#N/A,0,16
ESCHERICHIA COLI,Trimethoprim/sulfamethoxazole,#N/A,361,81,#N/A,0,18
ESCHERICHIA COLI,Nitrofurantoin,#N/A,361,94,#N/A,0,19
KLEBSIELLA PNEUMONIAE,Amoxicillin/clavulanate,#N/A,134,90,#N/A,1,1
KLEBSIELLA PNEUMONIAE,Piperacillin/tazobactam,#N/A,134,94,#N/A,1,3
KLEBSIELLA PNEUMONIAE,Cefazolin,#N/A,134,86,#N/A,1,4
KLEBSIELLA PNEUMONIAE,Cefoxitin,#N/A,134,96,#N/A,1,5
KLEBSIELLA PNEUMONIAE,Cefepime,#N/A,134,90,#N/A,1,6
KLEBSIELLA PNEUMONIAE,Ceftazidime,#N/A,134,89,#N/A,1,7
KLEBSIELLA PNEUMONIAE,Ceftriaxone,#N/A,134,89,#N/A,1,8
KLEBSIELLA PNEUMONIAE,Ertapenem,#N/A,134,99,#N/A,1,9
KLEBSIELLA PNEUMONIAE,Meropenem,#N/A,134,99,#N/A,1,10
KLEBSIELLA PNEUMONIAE,Ciprofloxacin,#N/A,134,88,#N/A,1,11
KLEBSIELLA PNEUMONIAE,Levofloxacin,#N/A,134,86,#N/A,1,12
KLEBSIELLA PNEUMONIAE,Gentamicin,#N/A,134,94,#N/A,1,13
KLEBSIELLA PNEUMONIAE,Tobramycin,#N/A,134,93,#N/A,1,14
KLEBSIELLA PNEUMONIAE,Amikacin,#N/A,134,100,#N/A,1,15
KLEBSIELLA PNEUMONIAE,Tetracycline,#N/A,134,85,#N/A,1,16
KLEBSIELLA PNEUMONIAE,Trimethoprim/sulfamethoxazole,#N/A,134,86,#N/A,1,18
KLEBSIELLA PNEUMONIAE,Nitrofurantoin,#N/A,134,31,#N/A,1,19
ENTEROBACTER CLOACAE COMPLEX,Piperacillin/tazobactam,#N/A,45,82,#N/A,2,3
ENTEROBACTER CLOACAE COMPLEX,Cefepime,#N/A,45,100,#N/A,2,6
ENTEROBACTER CLOACAE COMPLEX,Ceftazidime,#N/A,45,78,#N/A,2,7
ENTEROBACTER CLOACAE COMPLEX,Ceftriaxone,#N/A,45,78,#N/A,2,8
ENTEROBACTER CLOACAE COMPLEX,Ertapenem,#N/A,45,94,#N/A,2,9
ENTEROBACTER CLOACAE COMPLEX,Meropenem,#N/A,45,100,#N/A,2,10
ENTEROBACTER CLOACAE COMPLEX,Ciprofloxacin,#N/A,45,86,#N/A,2,11
