organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
ESCHERICHIA COLI,Ampicillin,#N/A,1417,51,#N/A,0,0
ESCHERICHIA COLI,Amoxicillin/clavulanate,#N/A,1417,81,#N/A,0,1
ESCHERICHIA COLI,Piperacillin/tazobactam,#N/A,1417,96,#N/A,0,3
ESCHERICHIA COLI,Cefazolin,#N/A,1417,87,#N/A,0,4
ESCHERICHIA COLI,Cefoxitin,#N/A,1417,91,#N/A,0,5
ESCHERICHIA COLI,Cefepime,#N/A,1417,92,#N/A,0,6
ESCHERICHIA COLI,Ceftazidime,#N/A,1417,92,#N/A,0,7
ESCHERICHIA COLI,Ceftriaxone,#N/A,1417,92,#N/A,0,8
ESCHERICHIA COLI,Ertapenem,#N/A,1417,100,#N/A,0,9
ESCHERICHIA COLI,Meropenem,#N/A,1417,100,#N/A,0,10
ESCHERICHIA COLI,Ciprofloxacin,#N/A,1417,75,#N/A,0,11
ESCHERICHIA COLI,Levofloxacin,#N/A,1417,72,#N/A,0,12
ESCHERICHIA COLI,Gentamicin,#N/A,1417,92,#N/A,0,13
ESCHERICHIA COLI,Tobramycin,#N/A,1417,92,#N/A,0,14
ESCHERICHIA COLI,Amikacin,#N/A,1417,100,#N/A,0,15
ESCHERICHIA COLI,Tetracycline,#N/A,1417,80,#N/A,0,16
ESCHERICHIA COLI,Trimethoprim/ sulfamethoxazole,#N/A,1417,81,#N/A,0,18
ESCHERICHIA COLI,Nitrofurantoin,#N/A,1417,96,#N/A,0,19
KLEBSIELLA PNEUMONIAE,Amoxicillin/clavulanate,#N/A,364,90,#N/A,1,1
KLEBSIELLA PNEUMONIAE,Piperacillin/tazobactam,#N/A,364,94,#N/A,1,3
KLEBSIELLA PNEUMONIAE,Cefazolin,#N/A,364,86,#N/A,1,4
KLEBSIELLA PNEUMONIAE,Cefoxitin,#N/A,364,96,#N/A,1,5
KLEBSIELLA PNEUMONIAE,Cefepime,#N/A,364,90,#N/A,1,6
KLEBSIELLA PNEUMONIAE,Ceftazidime,#N/A,364,89,#N/A,1,7
KLEBSIELLA PNEUMONIAE,Ceftriaxone,#N/A,364,89,#N/A,1,8
KLEBSIELLA PNEUMONIAE,Ertapenem,#N/A,364,99,#N/A,1,9
KLEBSIELLA PNEUMONIAE,Meropenem,#N/A,364,99,#N/A,1,10
KLEBSIELLA PNEUMONIAE,Ciprofloxacin,#N/A,364,88,#N/A,1,11
KLEBSIELLA PNEUMONIAE,Levofloxacin,#N/A,364,86,#N/A,1,12
KLEBSIELLA PNEUMONIAE,Gentamicin,#N/A,364,94,#N/A,1,13
KLEBSIELLA PNEUMONIAE,Tobramycin,#N/A,364,93,#N/A,1,14
KLEBSIELLA PNEUMONIAE,Amikacin,#N/A,364,100,#N/A,1,15
KLEBSIELLA PNEUMONIAE,Tetracycline,#N/A,364,85,#N/A,1,16
KLEBSIELLA PNEUMONIAE,Trimethoprim/ sulfamethoxazole,#N/A,364,86,#N/A,1,18
KLEBSIELLA PNEUMONIAE,Nitrofurantoin,#N/A,364,31,#N/A,1,19
PROTEUS MIRABILIS,Ampicillin,#N/A,152,81,#N/A,2,0
PROTEUS MIRABILIS,Amoxicillin/clavulanate,#N/A,152,100,#N/A,2,1
PROTEUS MIRABILIS,Piperacillin/tazobactam,#N/A,152,100,#N/A,2,3
PROTEUS MIRABILIS,Cefazolin,#N/A,152,88,#N/A,2,4
PROTEUS MIRABILIS,Cefoxitin,#N/A,152,96,#N/A,2,5
PROTEUS MIRABILIS,Cefepime,#N/A,152,99,#N/A,2,6
PROTEUS MIRABILIS,Ceftazidime,#N/A,152,97,#N/A,2,7
PROTEUS MIRABILIS,Ceftriaxone,#N/A,152,97,#N/A,2,8
PROTEUS MIRABILIS,Ertapenem,#N/A,152,85,#N/A,2,9
PROTEUS MIRABILIS,Meropenem,#N/A,152,99,#N/A,2,10
PROTEUS MIRABILIS,Ciprofloxacin,#N/A,152,77,#N/A,2,11
PROTEUS MIRABILIS,Levofloxacin,#N/A,152,76,#N/A,2,12
PROTEUS MIRABILIS,Gentamicin,#N/A,152,97,#N/A,2,13
PROTEUS MIRABILIS,Tobramycin,#N/A,152,96,#N/A,2,14
PROTEUS MIRABILIS,Amikacin,#N/A,152,99,#N/A,2,15
PROTEUS MIRABILIS,Trimethoprim/ sulfamethoxazole,#N/A,152,81,#N/A,2,18
ENTEROBACTER CLOACAE COMPLEX,Piperacillin/tazobactam,#N/A,77,82,#N/A,3,3
ENTEROBACTER CLOACAE COMPLEX,Cefepime,#N/A,77,100,#N/A,3,6
ENTEROBACTER CLOACAE COMPLEX,Ceftazidime,#N/A,77,78,#N/A,3,7
ENTEROBACTER CLOACAE COMPLEX,Ceftriaxone,#N/A,77,78,#N/A,3,8
ENTEROBACTER CLOACAE COMPLEX,Ertapenem,#N/A,77,94,#N/A,3,9
ENTEROBACTER CLOACAE COMPLEX,Meropenem,#N/A,77,100,#N/A,3,10
ENTEROBACTER CLOACAE COMPLEX,Ciprofloxacin,#N/A,77,86,#N/A,3,11
ENTEROBACTER CLOACAE COMPLEX,Levofloxacin,#N/A,77,81,#N/A,3,12
ENTEROBACTER CLOACAE COMPLEX,Gentamicin,#N/A,77,96,#N/A,3,13
ENTEROBACTER CLOACAE COMPLEX,Tobramycin,#N/A,77,94,#N/A,3,14
ENTEROBACTER CLOACAE COMPLEX,Amikacin,#N/A,77,100,#N/A,3,15
ENTEROBACTER CLOACAE COMPLEX,Tetracycline,#N/A,77,83,#N/A,3,16
ENTEROBACTER CLOACAE COMPLEX,Trimethoprim/ sulfamethoxazole,#N/A,77,83,#N/A,3,18
ENTEROBACTER CLOACAE COMPLEX,Nitrofurantoin,#N/A,77,43,#N/A,3,19
KLEBSIELLA OXYTOCA,Amoxicillin/clavulanate,#N/A,45,84,#N/A,4,1
KLEBSIELLA OXYTOCA,Piperacillin/tazobactam,#N/A,45,89,#N/A,4,3
KLEBSIELLA OXYTOCA,Cefazolin,#N/A,45,73,#N/A,4,4
KLEBSIELLA OXYTOCA,Cefoxitin,#N/A,45,100,#N/A,4,5
KLEBSIELLA OXYTOCA,Cefepime,#N/A,45,96,#N/A,4,6
KLEBSIELLA OXYTOCA,Ceftazidime,#N/A,45,96,#N/A,4,7
KLEBSIELLA OXYTOCA,Ceftriaxone,#N/A,45,87,#N/A,4,8
KLEBSIELLA OXYTOCA,Ertapenem,#N/A,45,100,#N/A,4,9
KLEBSIELLA OXYTOCA,Meropenem,#N/A,45,100,#N/A,4,10
KLEBSIELLA OXYTOCA,Ciprofloxacin,#N/A,45,96,#N/A,4,11
KLEBSIELLA OXYTOCA,Levofloxacin,#N/A,45,96,#N/A,4,12
KLEBSIELLA OXYTOCA,Gentamicin,#N/A,45,96,#N/A,4,13
KLEBSIELLA OXYTOCA,Tobramycin,#N/A,45,96,#N/A,4,14
KLEBSIELLA OXYTOCA,Amikacin,#N/A,45,100,#N/A,4,15
KLEBSIELLA OXYTOCA,Tetracycline,#N/A,45,96,#N/A,4,16
KLEBSIELLA OXYTOCA,Trimethoprim/ sulfamethoxazole,#N/A,45,96,#N/A,4,18
KLEBSIELLA OXYTOCA,Nitrofurantoin,#N/A,45,94,#N/A,4,19
SERRATIA MARCESCENS,Piperacillin/tazobactam,#N/A,31,88,#N/A,5,3
SERRATIA MARCESCENS,Cefepime,#N/A,31,100,#N/A,5,6
SERRATIA MARCESCENS,Ceftazidime,#N/A,31,100,#N/A,5,7
SERRATIA MARCESCENS,Ceftriaxone,#N/A,31,89,#N/A,5,8
SERRATIA MARCESCENS,Ertapenem,#N/A,31,100,#N/A,5,9
SERRATIA MARCESCENS,Meropenem,#N/A,31,100,#N/A,5,10
SERRATIA MARCESCENS,Ciprofloxacin,#N/A,31,94,#N/A,5,11
SERRATIA MARCESCENS,Levofloxacin,#N/A,31,94,#N/A,5,12
SERRATIA MARCESCENS,Gentamicin,#N/A,31,100,#N/A,5,13
SERRATIA MARCESCENS,Tobramycin,#N/A,31,94,#N/A,5,14
SERRATIA MARCESCENS,Amikacin,#N/A,31,100,#N/A,5,15
SERRATIA MARCESCENS,Tetracycline,#N/A,31,33,#N/A,5,16
SERRATIA MARCESCENS,Trimethoprim/ sulfamethoxazole,#N/A,31,100,#N/A,5,18
PSEUDOMONAS AERUGINOSA,Ampicillin,#N/A,185,R,#N/A,6,0
PSEUDOMONAS AERUGINOSA,Amoxicillin/clavulanate,#N/A,185,R,#N/A,6,1
PSEUDOMONAS AERUGINOSA,Ampicillin/sulbactam,#N/A,185,R,#N/A,6,2
PSEUDOMONAS AERUGINOSA,Piperacillin/tazobactam,#N/A,185,95,#N/A,6,3
PSEUDOMONAS AERUGINOSA,Cefazolin,#N/A,185,R,#N/A,6,4
PSEUDOMONAS AERUGINOSA,Cefoxitin,#N/A,185,R,#N/A,6,5
PSEUDOMONAS AERUGINOSA,Cefepime,#N/A,185,94,#N/A,6,6
PSEUDOMONAS AERUGINOSA,Ceftazidime,#N/A,185,92,#N/A,6,7
PSEUDOMONAS AERUGINOSA,Ertapenem,#N/A,185,R,#N/A,6,9
PSEUDOMONAS AERUGINOSA,Meropenem,#N/A,185,91,#N/A,6,10
PSEUDOMONAS AERUGINOSA,Ciprofloxacin,#N/A,185,81,#N/A,6,11
PSEUDOMONAS AERUGINOSA,Levofloxacin,#N/A,185,73,#N/A,6,12
PSEUDOMONAS AERUGINOSA,Gentamicin,#N/A,185,98,#N/A,6,13
PSEUDOMONAS AERUGINOSA,Tobramycin,#N/A,185,99,#N/A,6,14
PSEUDOMONAS AERUGINOSA,Amikacin,#N/A,185,100,#N/A,6,15
PSEUDOMONAS AERUGINOSA,Tetracycline,#N/A,185,R,#N/A,6,16
PSEUDOMONAS AERUGINOSA,Minocycline,#N/A,185,R,#N/A,6,17
PSEUDOMONAS AERUGINOSA,Trimethoprim/ sulfamethoxazole,#N/A,185,R,#N/A,6,18
PSEUDOMONAS AERUGINOSA,Nitrofurantoin,#N/A,185,R,#N/A,6,19
"ENTEROCOCCUS SP., VSE",Ampicillin,#N/A,134,95,#N/A,7,0
"ENTEROCOCCUS SP., VSE",Ciprofloxacin,#N/A,134,71,#N/A,7,11
"ENTEROCOCCUS SP., VSE",Levofloxacin,#N/A,134,74,#N/A,7,12
"ENTEROCOCCUS SP., VSE",Tetracycline,#N/A,134,25,#N/A,7,16
"ENTEROCOCCUS SP., VSE",Nitrofurantoin,#N/A,134,94,#N/A,7,19
"ENTEROCOCCUS SP., VSE",Vancomycin,#N/A,134,100,#N/A,7,25
