organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
ACINETOBACTER BAUMANNII,AMPICILLIN/SULBACTAM(UNASYN),#N/A,6,67,#N/A,0,0
ACINETOBACTER BAUMANNII,CEFEPIME,#N/A,6,67,#N/A,0,4
ACINETOBACTER BAUMANNII,CEFTRIAXONE,#N/A,6,83,#N/A,0,5
ACINETOBACTER BAUMANNII,CIPROFLOXACIN,#N/A,6,100,#N/A,0,7
ACINETOBACTER BAUMANNII,GENTAMICIN,#N/A,6,83,#N/A,0,11
ACINETOBACTER BAUMANNII,LEVOFLOXACIN,#N/A,6,100,#N/A,0,12
ACINETOBACTER BAUMANNII,MEROPENEM,#N/A,6,100,#N/A,0,13
ACINETOBACTER BAUMANNII,TRIMETH/SULFAMETH,#N/A,6,83,#N/A,0,17
CITROBACTER FREUNDII,AZTREONAM,#N/A,6,100,#N/A,1,3
CITROBACTER FREUNDII,CEFEPIME,#N/A,6,100,#N/A,1,4
CITROBACTER FREUNDII,CEFTRIAXONE,#N/A,6,83,#N/A,1,5
CITROBACTER FREUNDII,CEFTAZADIME/AVIBACTAM,#N/A,6,100,#N/A,1,6
CITROBACTER FREUNDII,CIPROFLOXACIN,#N/A,6,100,#N/A,1,7
CITROBACTER FREUNDII,ERTAPENEM,#N/A,6,100,#N/A,1,9
CITROBACTER FREUNDII,GENTAMICIN,#N/A,6,100,#N/A,1,11
CITROBACTER FREUNDII,LEVOFLOXACIN,#N/A,6,100,#N/A,1,12
CITROBACTER FREUNDII,MEROPENEM,#N/A,6,100,#N/A,1,13
CITROBACTER FREUNDII,NITROFURANTOIN                 (URINE ISOLATES ONLY),#N/A,6,100,#N/A,1,14
CITROBACTER FREUNDII,PIPERACILLIN/TAZO,#N/A,6,100,#N/A,1,16
CITROBACTER FREUNDII,TRIMETH/SULFAMETH,#N/A,6,100,#N/A,1,17
KLEBSIELLA AEROGENES,AZTREONAM,#N/A,10,70,#N/A,2,3
KLEBSIELLA AEROGENES,CEFEPIME,#N/A,10,100,#N/A,2,4
KLEBSIELLA AEROGENES,CEFTRIAXONE,#N/A,10,40,#N/A,2,5
KLEBSIELLA AEROGENES,CEFTAZADIME/AVIBACTAM,#N/A,10,100,#N/A,2,6
KLEBSIELLA AEROGENES,CIPROFLOXACIN,#N/A,10,100,#N/A,2,7
KLEBSIELLA AEROGENES,ERTAPENEM,#N/A,10,100,#N/A,2,9
KLEBSIELLA AEROGENES,GENTAMICIN,#N/A,10,100,#N/A,2,11
KLEBSIELLA AEROGENES,LEVOFLOXACIN,#N/A,10,100,#N/A,2,12
KLEBSIELLA AEROGENES,MEROPENEM,#N/A,10,100,#N/A,2,13
KLEBSIELLA AEROGENES,NITROFURANTOIN                 (URINE ISOLATES ONLY),#N/A,10,38,#N/A,2,14
KLEBSIELLA AEROGENES,PIPERACILLIN/TAZO,#N/A,10,70,#N/A,2,16
KLEBSIELLA AEROGENES,TRIMETH/SULFAMETH,#N/A,10,100,#N/A,2,17
ENTEROBACTER CLOACAE,AZTREONAM,#N/A,23,57,#N/A,3,3
ENTEROBACTER CLOACAE,CEFEPIME,#N/A,23,96,#N/A,3,4
ENTEROBACTER CLOACAE,CEFTRIAXONE,#N/A,23,65,#N/A,3,5
ENTEROBACTER CLOACAE,CEFTAZADIME/AVIBACTAM,#N/A,23,100,#N/A,3,6
