organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
ESCHERICHIA COLI,Ampicillin,#N/A,1861,53,#N/A,0,0
ESCHERICHIA COLI,Amoxicillin/clavulanate,#N/A,1861,83,#N/A,0,1
ESCHERICHIA COLI,Piperacillin/tazobactam,#N/A,1861,97,#N/A,0,3
ESCHERICHIA COLI,Cefazolin,#N/A,1861,87,#N/A,0,4
ESCHERICHIA COLI,Cefepime,#N/A,1861,94,#N/A,0,5
ESCHERICHIA COLI,Ceftazidime,#N/A,1861,93,#N/A,0,6
ESCHERICHIA COLI,Ceftriaxone,#N/A,1861,93,#N/A,0,7
ESCHERICHIA COLI,Ertapenem,#N/A,1861,100,#N/A,0,8
ESCHERICHIA COLI,Meropenem,#N/A,1861,100,#N/A,0,9
ESCHERICHIA COLI,Ciprofloxacin,#N/A,1861,78,#N/A,0,10
ESCHERICHIA COLI,Levofloxacin,#N/A,1861,74,#N/A,0,11
ESCHERICHIA COLI,Gentamicin,#N/A,1861,92,#N/A,0,12
ESCHERICHIA COLI,Tobramycin,#N/A,1861,93,#N/A,0,13
ESCHERICHIA COLI,Amikacin,#N/A,1861,100,#N/A,0,14
ESCHERICHIA COLI,Tetracycline,#N/A,1861,80,#N/A,0,15
ESCHERICHIA COLI,Trimethoprim/sulfamethoxazole,#N/A,1861,79,#N/A,0,17
ESCHERICHIA COLI,Nitrofurantoin,#N/A,1861,95,#N/A,0,18
ESCHERICHIA  COLI (URINE ISOLATES),Ampicillin,#N/A,1278,55,#N/A,1,0
ESCHERICHIA  COLI (URINE ISOLATES),Amoxicillin/clavulanate,#N/A,1278,83,#N/A,1,1
ESCHERICHIA  COLI (URINE ISOLATES),Piperacillin/tazobactam,#N/A,1278,97,#N/A,1,3
ESCHERICHIA  COLI (URINE ISOLATES),Cefazolin,#N/A,1278,90,#N/A,1,4
ESCHERICHIA  COLI (URINE ISOLATES),Cefepime,#N/A,1278,94,#N/A,1,5
ESCHERICHIA  COLI (URINE ISOLATES),Ceftazidime,#N/A,1278,93,#N/A,1,6
ESCHERICHIA  COLI (URINE ISOLATES),Ceftriaxone,#N/A,1278,93,#N/A,1,7
ESCHERICHIA  COLI (URINE ISOLATES),Ertapenem,#N/A,1278,100,#N/A,1,8
ESCHERICHIA  COLI (URINE ISOLATES),Meropenem,#N/A,1278,100,#N/A,1,9
ESCHERICHIA  COLI (URINE ISOLATES),Ciprofloxacin,#N/A,1278,79,#N/A,1,10
ESCHERICHIA  COLI (URINE ISOLATES),Levofloxacin,#N/A,1278,75,#N/A,1,11
ESCHERICHIA  COLI (URINE ISOLATES),Gentamicin,#N/A,1278,93,#N/A,1,12
ESCHERICHIA  COLI (URINE ISOLATES),Tobramycin,#N/A,1278,93,#N/A,1,13
ESCHERICHIA  COLI (URINE ISOLATES),Amikacin,#N/A,1278,100,#N/A,1,14
ESCHERICHIA  COLI (URINE ISOLATES),Tetracycline,#N/A,1278,81,#N/A,1,15
ESCHERICHIA  COLI (URINE ISOLATES),Trimethoprim/sulfamethoxazole,#N/A,1278,80,#N/A,1,17
ESCHERICHIA  COLI (URINE ISOLATES),Nitrofurantoin,#N/A,1278,95,#N/A,1,18
KLEBSIELLA PNEUMONIAE,Amoxicillin/clavulanate,#N/A,423,87,#N/A,2,1
KLEBSIELLA PNEUMONIAE,Piperacillin/tazobactam,#N/A,423,93,#N/A,2,3
KLEBSIELLA PNEUMONIAE,Cefazolin,#N/A,423,85,#N/A,2,4
