organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
Escherichia coli,AMOX/CLAV,PO,3617,86,#N/A,2,1
Klebsiella pneumoniae,AMOX/CLAV,PO,567,98,#N/A,3,1
Klebsiella oxytoca,AMOX/CLAV,PO,94,93,#N/A,4,1
Proteus mirabilis,AMOX/CLAV,PO,285,99,#N/A,5,1
Escherichia coli,AMPICILLIN,IV/PO,3617,58,#N/A,2,2
Proteus mirabilis,AMPICILLIN,IV/PO,285,67,#N/A,5,2
Enterobacter cloacae,AZTREONAM,IV,128,93,#N/A,1,3
Escherichia coli,AZTREONAM,IV,3617,94,#N/A,2,3
Klebsiella pneumoniae,AZTREONAM,IV,567,98,#N/A,3,3
Klebsiella oxytoca,AZTREONAM,IV,94,99,#N/A,4,3
Proteus mirabilis,AZTREONAM,IV,285,98,#N/A,5,3
Escherichia coli,CEFAZOLIN,IV,3617,89,#N/A,2,4
Klebsiella pneumoniae,CEFAZOLIN,IV,567,96,#N/A,3,4
Klebsiella oxytoca,CEFAZOLIN,IV,94,78,#N/A,4,4
Proteus mirabilis,CEFAZOLIN,IV,285,90,#N/A,5,4
Enterobacter cloacae,CEFTRIAXONE,IV,128,91,#N/A,1,5
Escherichia coli,CEFTRIAXONE,IV,3617,93,#N/A,2,5
Klebsiella pneumoniae,CEFTRIAXONE,IV,567,98,#N/A,3,5
Klebsiella oxytoca,CEFTRIAXONE,IV,94,99,#N/A,4,5
Proteus mirabilis,CEFTRIAXONE,IV,285,99,#N/A,5,5
Enterobacter cloacae,CEFIPIME,IV,128,100,#N/A,1,6
Escherichia coli,CEFIPIME,IV,3617,94,#N/A,2,6
Klebsiella pneumoniae,CEFIPIME,IV,567,98,#N/A,3,6
Klebsiella oxytoca,CEFIPIME,IV,94,99,#N/A,4,6
Proteus mirabilis,CEFIPIME,IV,285,99,#N/A,5,6
Ps. aeruginosa,CEFIPIME,IV,333,96,#N/A,6,6
Enterobacter cloacae,CIPROFLOXACIN,IV/PO,128,98,#N/A,1,7
Escherichia coli,CIPROFLOXACIN,IV/PO,3617,85,#N/A,2,7
Klebsiella pneumoniae,CIPROFLOXACIN,IV/PO,567,97,#N/A,3,7
Klebsiella oxytoca,CIPROFLOXACIN,IV/PO,94,98,#N/A,4,7
Proteus mirabilis,CIPROFLOXACIN,IV/PO,285,79,#N/A,5,7
Ps. aeruginosa,CIPROFLOXACIN,IV/PO,333,85,#N/A,6,7
Enterobacter cloacae,GENTAMICIN,IV,128,99,#N/A,1,8
Escherichia coli,GENTAMICIN,IV,3617,93,#N/A,2,8
Klebsiella pneumoniae,GENTAMICIN,IV,567,99,#N/A,3,8
Klebsiella oxytoca,GENTAMICIN,IV,94,99,#N/A,4,8
Proteus mirabilis,GENTAMICIN,IV,285,94,#N/A,5,8
Ps. aeruginosa,GENTAMICIN,IV,333,93,#N/A,6,8
Enterobacter cloacae,IMIPENIM,IV,128,100,#N/A,1,9
Escherichia coli,IMIPENIM,IV,3617,100,#N/A,2,9
Klebsiella pneumoniae,IMIPENIM,IV,567,99,#N/A,3,9
Klebsiella oxytoca,IMIPENIM,IV,94,100,#N/A,4,9
Ps. aeruginosa,IMIPENIM,IV,333,100,#N/A,6,9
Enterobacter cloacae,LEVOFLOXACIN,IV/PO,128,98,#N/A,1,10
Escherichia coli,LEVOFLOXACIN,IV/PO,3617,85,#N/A,2,10
Klebsiella pneumoniae,LEVOFLOXACIN,IV/PO,567,97,#N/A,3,10
Klebsiella oxytoca,LEVOFLOXACIN,IV/PO,94,99,#N/A,4,10
Proteus mirabilis,LEVOFLOXACIN,IV/PO,285,86,#N/A,5,10
Ps. aeruginosa,LEVOFLOXACIN,IV/PO,333,82,#N/A,6,10
Enterobacter cloacae,MEROPENEM,IV,128,100,#N/A,1,11
Escherichia coli,MEROPENEM,IV,3617,100,#N/A,2,11
Klebsiella pneumoniae,MEROPENEM,IV,567,99,#N/A,3,11
Klebsiella oxytoca,MEROPENEM,IV,94,100,#N/A,4,11
Proteus mirabilis,MEROPENEM,IV,285,99,#N/A,5,11
Ps. aeruginosa,MEROPENEM,IV,333,99,#N/A,6,11
Enterobacter cloacae,NITROFURANTOIN,PO,128,31,#N/A,1,12
Escherichia coli,NITROFURANTOIN,PO,3617,93,#N/A,2,12
Klebsiella pneumoniae,NITROFURANTOIN,PO,567,31,#N/A,3,12
Klebsiella oxytoca,NITROFURANTOIN,PO,94,73,#N/A,4,12
Enterobacter cloacae,PIP/TAZOBACTAM,IV,128,90,#N/A,1,13
Escherichia coli,PIP/TAZOBACTAM,IV,3617,97,#N/A,2,13
Klebsiella pneumoniae,PIP/TAZOBACTAM,IV,567,97,#N/A,3,13
Klebsiella oxytoca,PIP/TAZOBACTAM,IV,94,96,#N/A,4,13
Proteus mirabilis,PIP/TAZOBACTAM,IV,285,98,#N/A,5,13
Ps. aeruginosa,PIP/TAZOBACTAM,IV,333,100,#N/A,6,13
Enterobacter cloacae,TETRACYCLINE,IV/PO,128,94,#N/A,1,14
Escherichia coli,TETRACYCLINE,IV/PO,3617,81,#N/A,2,14
Klebsiella pneumoniae,TETRACYCLINE,IV/PO,567,87,#N/A,3,14
Klebsiella oxytoca,TETRACYCLINE,IV/PO,94,95,#N/A,4,14
Enterobacter cloacae,TRIMETH/SULFA,IV/PO,128,92,#N/A,1,15
Escherichia coli,TRIMETH/SULFA,IV/PO,3617,82,#N/A,2,15
Klebsiella pneumoniae,TRIMETH/SULFA,IV/PO,567,93,#N/A,3,15
Klebsiella oxytoca,TRIMETH/SULFA,IV/PO,94,94,#N/A,4,15
Proteus mirabilis,TRIMETH/SULFA,IV/PO,285,82,#N/A,5,15
