organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info
Escherichia coli,AMOX/CLAV,PO,3796,88,#N/A
Klebsiella pneumoniae,AMOX/CLAV,PO,575,96,#N/A
Klebsiella oxytoca,AMOX/CLAV,PO,123,93,#N/A
Proteus mirabilis,AMOX/CLAV,PO,320,99,#N/A
Escherichia coli,AMPICILLIN,IV/PO,3796,62,#N/A
Proteus mirabilis,AMPICILLIN,IV/PO,320,68,#N/A
Enterobacter cloacae,AZTREONAM,IV,153,84,#N/A
Escherichia coli,AZTREONAM,IV,3796,95,#N/A
Klebsiella pneumoniae,AZTREONAM,IV,575,96,#N/A
Klebsiella oxytoca,AZTREONAM,IV,123,98,#N/A
Proteus mirabilis,AZTREONAM,IV,320,98,#N/A
Escherichia coli,CEFAZOLIN,IV,3796,90,#N/A
Klebsiella pneumoniae,CEFAZOLIN,IV,575,95,#N/A
Klebsiella oxytoca,CEFAZOLIN,IV,123,72,#N/A
Proteus mirabilis,CEFAZOLIN,IV,320,93,#N/A
Enterobacter cloacae,CEFTRIAXONE,IV,153,80,#N/A
Escherichia coli,CEFTRIAXONE,IV,3796,94,#N/A
Klebsiella pneumoniae,CEFTRIAXONE,IV,575,96,#N/A
Klebsiella oxytoca,CEFTRIAXONE,IV,123,98,#N/A
Proteus mirabilis,CEFTRIAXONE,IV,320,99,#N/A
Enterobacter cloacae,CEFIPIME,IV,153,97,#N/A
Escherichia coli,CEFIPIME,IV,3796,96,#N/A
Klebsiella pneumoniae,CEFIPIME,IV,575,96,#N/A
Klebsiella oxytoca,CEFIPIME,IV,123,98,#N/A
Proteus mirabilis,CEFIPIME,IV,320,99,#N/A
Ps. aeruginosa,CEFIPIME,IV,446,94,#N/A
Enterobacter cloacae,CIPROFLOXACIN,IV/PO,153,92,#N/A
Escherichia coli,CIPROFLOXACIN,IV/PO,3796,86,#N/A
Klebsiella pneumoniae,CIPROFLOXACIN,IV/PO,575,98,#N/A
Klebsiella oxytoca,CIPROFLOXACIN,IV/PO,123,98,#N/A
Proteus mirabilis,CIPROFLOXACIN,IV/PO,320,83,#N/A
Ps. aeruginosa,CIPROFLOXACIN,IV/PO,446,89,#N/A
Enterobacter cloacae,GENTAMICIN,IV,153,100,#N/A
Escherichia coli,GENTAMICIN,IV,3796,93,#N/A
Klebsiella pneumoniae,GENTAMICIN,IV,575,98,#N/A
Klebsiella oxytoca,GENTAMICIN,IV,123,98,#N/A
Proteus mirabilis,GENTAMICIN,IV,320,95,#N/A
Enterobacter cloacae,IMIPENIM,IV,153,99,#N/A
Escherichia coli,IMIPENIM,IV,3796,100,#N/A
Klebsiella pneumoniae,IMIPENIM,IV,575,100,#N/A
Klebsiella oxytoca,IMIPENIM,IV,123,100,#N/A
Ps. aeruginosa,IMIPENIM,IV,446,89,#N/A
Enterobacter cloacae,LEVOFLOXACIN,IV/PO,153,92,#N/A
Escherichia coli,LEVOFLOXACIN,IV/PO,3796,86,#N/A
Klebsiella pneumoniae,LEVOFLOXACIN,IV/PO,575,98,#N/A
Klebsiella oxytoca,LEVOFLOXACIN,IV/PO,123,98,#N/A
Proteus mirabilis,LEVOFLOXACIN,IV/PO,320,92,#N/A
Ps. aeruginosa,LEVOFLOXACIN,IV/PO,446,86,#N/A
Enterobacter cloacae,MEROPENEM,IV,153,98,#N/A
Escherichia coli,MEROPENEM,IV,3796,100,#N/A
Klebsiella pneumoniae,MEROPENEM,IV,575,100,#N/A
Klebsiella oxytoca,MEROPENEM,IV,123,100,#N/A
Proteus mirabilis,MEROPENEM,IV,320,99,#N/A
Ps. aeruginosa,MEROPENEM,IV,446,96,#N/A
Enterobacter cloacae,NITROFURANTOIN,PO,153,29,#N/A
Escherichia coli,NITROFURANTOIN,PO,3796,96,#N/A
Klebsiella pneumoniae,NITROFURANTOIN,PO,575,32,#N/A
Klebsiella oxytoca,NITROFURANTOIN,PO,123,83,#N/A
Enterobacter cloacae,PIP/TAZOBACTAM,IV,153,80,#N/A
Escherichia coli,PIP/TAZOBACTAM,IV,3796,98,#N/A
Klebsiella pneumoniae,PIP/TAZOBACTAM,IV,575,97,#N/A
Klebsiella oxytoca,PIP/TAZOBACTAM,IV,123,95,#N/A
Proteus mirabilis,PIP/TAZOBACTAM,IV,320,98,#N/A
Ps. aeruginosa,PIP/TAZOBACTAM,IV,446,100,#N/A
Enterobacter cloacae,TETRACYCLINE,IV/PO,153,80,#N/A
Escherichia coli,TETRACYCLINE,IV/PO,3796,83,#N/A
Klebsiella pneumoniae,TETRACYCLINE,IV/PO,575,88,#N/A
Klebsiella oxytoca,TETRACYCLINE,IV/PO,123,92,#N/A
Enterobacter cloacae,TRIMETH/SULFA,IV/PO,153,86,#N/A
Escherichia coli,TRIMETH/SULFA,IV/PO,3796,83,#N/A
Klebsiella pneumoniae,TRIMETH/SULFA,IV/PO,575,93,#N/A
Klebsiella oxytoca,TRIMETH/SULFA,IV/PO,123,98,#N/A
Proteus mirabilis,TRIMETH/SULFA,IV/PO,320,89,#N/A
