organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
ENTEROCOCCUS FAECALIS,Vancomycin,#N/A,285,99,#N/A,0,9
ENTEROCOCCUS FAECALIS,Penicillin,#N/A,285,98,#N/A,0,13
ENTEROCOCCUS FAECALIS,Ampicillin,#N/A,285,100,#N/A,0,16
ENTEROCOCCUS FAECIUM,Vancomycin,#N/A,62,39,#N/A,1,9
ENTEROCOCCUS FAECIUM,Penicillin,#N/A,62,16,#N/A,1,13
ENTEROCOCCUS FAECIUM,Ampicillin,#N/A,62,16,#N/A,1,16
COAGULASE NEG. STAPH,Nitrofurantoin--Urine only,#N/A,282,96,#N/A,2,0
COAGULASE NEG. STAPH,Tetracycline,#N/A,282,78,#N/A,2,1
COAGULASE NEG. STAPH,Levofloxacin,#N/A,282,77,#N/A,2,2
COAGULASE NEG. STAPH,Ciprofloxacin,#N/A,282,76,#N/A,2,4
COAGULASE NEG. STAPH,Gentamicin,#N/A,282,98,#N/A,2,5
COAGULASE NEG. STAPH,Cefazolin,#N/A,282,53,#N/A,2,6
COAGULASE NEG. STAPH,Clindamycin,#N/A,282,64,#N/A,2,7
COAGULASE NEG. STAPH,Vancomycin,#N/A,282,100,#N/A,2,9
COAGULASE NEG. STAPH,Oxacillin,#N/A,282,53,#N/A,2,14
COAGULASE NEG. STAPH,Trimeth/sulfamethoxazole,#N/A,282,74,#N/A,2,15
COAGULASE NEG. STAPH,Erythromycin,#N/A,282,47,#N/A,2,17
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Nitrofurantoin--Urine only,#N/A,467,100,#N/A,3,0
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Tetracycline,#N/A,467,93,#N/A,3,1
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Levofloxacin,#N/A,467,91,#N/A,3,2
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Ciprofloxacin,#N/A,467,80,#N/A,3,4
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Gentamicin,#N/A,467,100,#N/A,3,5
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Cefazolin,#N/A,467,100,#N/A,3,6
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Clindamycin,#N/A,467,79,#N/A,3,7
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Vancomycin,#N/A,467,100,#N/A,3,9
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Oxacillin,#N/A,467,100,#N/A,3,14
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Trimeth/sulfamethoxazole,#N/A,467,99,#N/A,3,15
METHICILLIN SENSITIVE STAPH AUREUS (MSSA),Erythromycin,#N/A,467,69,#N/A,3,17
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Nitrofurantoin--Urine only,#N/A,233,100,#N/A,4,0
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Tetracycline,#N/A,233,88,#N/A,4,1
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Levofloxacin,#N/A,233,46,#N/A,4,2
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Ciprofloxacin,#N/A,233,48,#N/A,4,4
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Gentamicin,#N/A,233,100,#N/A,4,5
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Cefazolin,#N/A,233,0,#N/A,4,6
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Clindamycin,#N/A,233,64,#N/A,4,7
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Vancomycin,#N/A,233,100,#N/A,4,9
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Oxacillin,#N/A,233,0,#N/A,4,14
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Trimeth/sulfamethoxazole,#N/A,233,90,#N/A,4,15
METHICILLIN RESISTANT STAPH AUREUS (MRSA),Erythromycin,#N/A,233,15,#N/A,4,17
S. PNEUMONIAE (Inpt + outpt),Levofloxacin,#N/A,35,100,#N/A,5,2
S. PNEUMONIAE (Inpt + outpt),Ceftriaxone,#N/A,35,100,#N/A,5,3
S. PNEUMONIAE (Inpt + outpt),Vancomycin,#N/A,35,100,#N/A,5,9
S. PNEUMONIAE (Inpt + outpt),Penicillin,#N/A,35,100,#N/A,5,13
S. PNEUMONIAE (Inpt + outpt),Trimeth/sulfamethoxazole,#N/A,35,97,#N/A,5,15
S. PNEUMONIAE (Inpt + outpt),Erythromycin,#N/A,35,82,#N/A,5,17
