organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
Enterococcus faecium,AMPICILLIN,IV/PO,6,0,#N/A,1,1
Enterococcus faecalis,AMPICILLIN,IV/PO,53,100,#N/A,2,1
Staph aureus(total),CLINDAMYCIN,IV/PO,116,84,#N/A,3,2
MRSA,CLINDAMYCIN,IV/PO,55,76,#N/A,4,2
non-MRSA,CLINDAMYCIN,IV/PO,61,87,#N/A,5,2
Staph aureus(total),ERYTHROMYCIN,IV/PO,116,50,#N/A,3,3
MRSA,ERYTHROMYCIN,IV/PO,55,20,#N/A,4,3
non-MRSA,ERYTHROMYCIN,IV/PO,61,77,#N/A,5,3
Staph aureus(total),GENTAMICIN,IV,116,99,#N/A,3,4
MRSA,GENTAMICIN,IV,55,100,#N/A,4,4
non-MRSA,GENTAMICIN,IV,61,98,#N/A,5,4
Enterococcus faecium,LEVOFLOXACIN,IV/PO,6,0,#N/A,1,5
Enterococcus faecalis,LEVOFLOXACIN,IV/PO,53,79,#N/A,2,5
Staph aureus(total),OXACILLIN,IV,116,53,#N/A,3,6
non-MRSA,OXACILLIN,IV,61,100,#N/A,5,6
Enterococcus faecium,TETRACYCLINE,PO,6,0,#N/A,1,7
Enterococcus faecalis,TETRACYCLINE,PO,53,19,#N/A,2,7
Staph aureus(total),TETRACYCLINE,PO,116,92,#N/A,3,7
MRSA,TETRACYCLINE,PO,55,89,#N/A,4,7
non-MRSA,TETRACYCLINE,PO,61,95,#N/A,5,7
Enterococcus faecium,VANCOMYCIN,IV,6,50,#N/A,1,8
Enterococcus faecalis,VANCOMYCIN,IV,53,100,#N/A,2,8
Staph aureus(total),VANCOMYCIN,IV,116,100,#N/A,3,8
MRSA,VANCOMYCIN,IV,55,100,#N/A,4,8
non-MRSA,VANCOMYCIN,IV,61,100,#N/A,5,8
Enterococcus faecium,NITROFURANTOIN,PO,6,0,#N/A,1,9
Enterococcus faecalis,NITROFURANTOIN,PO,53,100,#N/A,2,9
Staph aureus(total),NITROFURANTOIN,PO,116,99,#N/A,3,9
MRSA,NITROFURANTOIN,PO,55,100,#N/A,4,9
non-MRSA,NITROFURANTOIN,PO,61,98,#N/A,5,9
Staph aureus(total),TRIMETH/SULFA,IV/PO,116,94,#N/A,3,10
MRSA,TRIMETH/SULFA,IV/PO,55,87,#N/A,4,10
non-MRSA,TRIMETH/SULFA,IV/PO,61,100,#N/A,5,10
