organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info
Escherichia coli,Ampicillin,#N/A,184,50,non-urine
Proteus mirabilis,Ampicillin,#N/A,54,83,non-urine
Enterobacter cloacae,Piperacillin-tazobactam,#N/A,35,74,non-urine
Escherichia coli,Piperacillin-tazobactam,#N/A,184,98,non-urine
Klebsiella pneumoniae,Piperacillin-tazobactam,#N/A,74,95,non-urine
Proteus mirabilis,Piperacillin-tazobactam,#N/A,54,100,non-urine
Pseudomonas aeruginosa,Piperacillin-tazobactam,#N/A,266,89,non-urine
Escherichia coli,Cefazolin,#N/A,184,78,non-urine
Klebsiella pneumoniae,Cefazolin,#N/A,74,87,non-urine
Proteus mirabilis,Cefazolin,#N/A,54,91,non-urine
Escherichia coli,Ceftriaxone,#N/A,184,86,non-urine
Klebsiella pneumoniae,Ceftriaxone,#N/A,74,88,non-urine
Proteus mirabilis,Ceftriaxone,#N/A,54,93,non-urine
Enterobacter cloacae,Cefepime,#N/A,35,94,non-urine
Escherichia coli,Cefepime,#N/A,184,86,non-urine
Klebsiella pneumoniae,Cefepime,#N/A,74,90,non-urine
Proteus mirabilis,Cefepime,#N/A,54,93,non-urine
Pseudomonas aeruginosa,Cefepime,#N/A,266,89,non-urine
Enterobacter cloacae,Meropenem,#N/A,35,100,non-urine
Escherichia coli,Meropenem,#N/A,184,100,non-urine
Klebsiella pneumoniae,Meropenem,#N/A,74,97,non-urine
Proteus mirabilis,Meropenem,#N/A,54,100,non-urine
Pseudomonas aeruginosa,Meropenem,#N/A,266,91,non-urine
Enterobacter cloacae,Gentamicin,#N/A,35,97,non-urine
Escherichia coli,Gentamicin,#N/A,184,90,non-urine
Klebsiella pneumoniae,Gentamicin,#N/A,74,93,non-urine
Proteus mirabilis,Gentamicin,#N/A,54,93,non-urine
Pseudomonas aeruginosa,Gentamicin,#N/A,266,84,non-urine
Enterobacter cloacae,Tobramicin,#N/A,35,97,non-urine
Escherichia coli,Tobramicin,#N/A,184,90,non-urine
Klebsiella pneumoniae,Tobramicin,#N/A,74,93,non-urine
Proteus mirabilis,Tobramicin,#N/A,54,93,non-urine
Pseudomonas aeruginosa,Tobramicin,#N/A,266,95,non-urine
Enterobacter cloacae,Ciprofloxacin,#N/A,35,97,non-urine
Escherichia coli,Ciprofloxacin,#N/A,184,75,non-urine
Klebsiella pneumoniae,Ciprofloxacin,#N/A,74,87,non-urine
Proteus mirabilis,Ciprofloxacin,#N/A,54,78,non-urine
Pseudomonas aeruginosa,Ciprofloxacin,#N/A,266,84,non-urine
Enterobacter cloacae,Levofloxacin,#N/A,35,97,non-urine
Escherichia coli,Levofloxacin,#N/A,184,75,non-urine
Klebsiella pneumoniae,Levofloxacin,#N/A,74,92,non-urine
Proteus mirabilis,Levofloxacin,#N/A,54,90,non-urine
Pseudomonas aeruginosa,Levofloxacin,#N/A,266,84,non-urine
Enterobacter cloacae,Sulfamethox-trimethoprim,#N/A,35,89,non-urine
Escherichia coli,Sulfamethox-trimethoprim,#N/A,184,77,non-urine
Klebsiella pneumoniae,Sulfamethox-trimethoprim,#N/A,74,89,non-urine
Proteus mirabilis,Sulfamethox-trimethoprim,#N/A,54,85,non-urine
